species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Klebsiella_pasteurii,,,117.0,25.0,,,,,,,,,,,,,,,,,5.0,,,,,42.0,4.0,,1513.0,35.0,,88.0,,,,,
Klebsiella_phage_phiKO2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Klebsiella_pneumoniae,622.0,27.0,659553.0,944.0,41.0,4.0,230.0,7192.0,49.0,,,,19702.0,139.0,328.0,113.0,128.0,1227.0,361.0,20.0,2114469.0,5.0,1188.0,,20.0,640.0,31140.0,,320156.0,64926.0,5.0,121081.0,,6.0,58.0,889.0,
Klebsiella_quasipneumoniae,,,1413.0,6.0,6.0,,17.0,5.0,2.0,,,,20.0,6.0,,,,,,,6779.0,,65.0,,,75.0,368.0,,1493.0,285.0,1.0,315.0,,,2.0,,9.0
Klebsiella_quasivariicola,,,67.0,,,,,,,,,,,,,,,,,,62.0,,,,,,,,8.0,1.0,,19.0,,,,,
Klebsiella_sp._BDA134-6,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,27.0,,84.0,,,,,
Klebsiella_sp._CTHL.F3a,,,,,,,,,,,,,,,,,5.0,,,,18.0,,,,,,,,,,,,,,,,
Klebsiella_sp._K4,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,78.0,,,,,,,,
Klebsiella_sp._KP20-425-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,,,,,,,,
Klebsiella_sp._P1CD1,,,35.0,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,
Klebsiella_sp._PL-2018,,,,,,,,,2.0,,,,,,,,,,,,9.0,,,,,,,,12.0,,,,,,4.0,,
Klebsiella_sp._RHBSTW-00215,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,
Klebsiella_sp._Shm-1,,,,,,,,,,,,,,,,,,,,,165.0,,,,,,42.0,,,,,,,,,,
Klebsiella_sp._WP3-S18-ESBL-05,,,,,6.0,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,
Klebsiella_sp._WP3-W18-ESBL-02,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
Klebsiella_sp._WP4-W18-ESBL-05,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,,,,,,,,
Klebsiella_sp._ZYC-1,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,1272.0,,,,,,,,
Klebsiella_sp._w6,,,24.0,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,
Klebsiella_variicola,,,6975.0,921.0,17.0,,67.0,18.0,4.0,,,,64.0,15.0,83.0,,,13.0,,4.0,2440.0,8.0,1880.0,,40.0,206.0,1038.0,,1776.0,888.0,,1236.0,,,4.0,6.0,
Kluyvera_ascorbata,,,32.0,144.0,,,,,,,,,1.0,,,,,,,1.0,,,2336.0,,,,,,125.0,31.0,,32.0,,,1.0,,
Kluyvera_cryocrescens,,,,,,,,,,,,,,,,,,,,,,,295.0,,,,,,,,,,,,,,
Kluyvera_genomosp._3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
Kluyvera_intermedia,,,,,,,,,,,,,,,,,,2.0,,,3.0,,9.0,,,,1.0,,2.0,,,2.0,,,,,
Kluyvera_sichuanensis,,,2.0,,,,,,,,,,,,,,,1.0,,,,,247.0,,,,,,11.0,,,,,,,,
Kluyvera_sp._CRP,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,
Knoellia_sp._S7-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Kocuria_rhizophila,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,1.0,,,,,,,,,4.0,
Kocuria_sp._BT304,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Kocuria_sp._KD4,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Kocuria_varians,,,,,,,1.0,1.0,,,,,,,,,,,,,3.0,,,24.0,1.0,,,,,,,,,,,,
Koleobacter_methoxysyntrophicus,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolpuevirus_coli,,,,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,3.0,,,
Kolpuevirus_hominis,,,,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,1.0,,,
Komagataeibacter_oboediens,424.0,480.0,,262.0,5.0,64.0,31.0,324.0,3.0,201.0,748.0,396.0,760.0,158.0,1001.0,1416.0,613.0,273.0,603.0,499.0,14.0,62.0,335.0,187.0,349.0,44.0,,687.0,,,,,284.0,,168.0,687.0,640.0
Kosakonia_calanthes,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Kosakonia_cowanii,,,3.0,,,,,,,,,,,,,,,,,,,,290.0,,,,,,2.0,1.0,,2.0,,,,,
Kosakonia_oryzae,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Kosakonia_oryzendophytica,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
Kosakonia_pseudosacchari,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,
Kosakonia_radicincitans,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,,3.0,,,,,
Kosakonia_sacchari,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Kosakonia_sp._CCTCC_M2018092,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,
Kribbella_sp._NBC_00382,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Kribbella_sp._NBC_00482,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
Kroppenstedtia_eburnea,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurthia_sp._YJT4,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,18.0,,
Kurthia_zopfii,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labrys_sp._KNU-23,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnoanaerobaculum_gingivalis,26.0,31.0,47.0,120.0,,15.0,,48.0,99.0,283.0,59.0,16.0,70.0,18.0,64.0,67.0,62.0,74.0,49.0,29.0,31.0,87.0,70.0,16.0,88.0,7.0,,116.0,,123.0,,14.0,11.0,,35.0,36.0,143.0
Lachnoanaerobaculum_umeaense,3.0,9.0,5.0,,,7.0,,,,1.0,1.0,2.0,8.0,6.0,11.0,16.0,3.0,2.0,,,,,8.0,,,,,1.0,,,,4.0,,,10.0,,
Lachnoclostridium_phocaeense,1391.0,2396.0,43.0,1960.0,135.0,212.0,439.0,465.0,2006.0,254.0,270.0,102.0,1850.0,62.0,235.0,515.0,2305.0,3125.0,2676.0,1801.0,244.0,315.0,190.0,825.0,1555.0,768.0,2.0,902.0,35.0,102.0,86.0,91.0,970.0,35.0,80.0,1268.0,305.0
Lachnoclostridium_phytofermentans,2.0,1.0,1.0,5.0,,,1.0,,,,3.0,1.0,,,1.0,1.0,3.0,,1.0,,1.0,,6.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,,
Lachnospira_eligens,27860.0,22016.0,49.0,4821.0,47.0,65.0,118.0,107.0,198.0,2300.0,24064.0,18383.0,33864.0,18776.0,21431.0,6775.0,23760.0,22628.0,5774.0,42782.0,78.0,344.0,43714.0,12671.0,83343.0,17.0,1.0,874.0,5.0,61.0,115.0,420.0,7666.0,13.0,198.0,8190.0,580.0
Lacrimispora_saccharolytica,44.0,83.0,601.0,147.0,39.0,5.0,271.0,71.0,162.0,52.0,92.0,60.0,59.0,62.0,170.0,50.0,58.0,357.0,42.0,71.0,20.0,71.0,74.0,24.0,71.0,,8.0,50.0,,523.0,16.0,235.0,21.0,1.0,152.0,44.0,91.0
Lacrimispora_sp._BS-2,,,20.0,1.0,,,23.0,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,10.0,,23.0,,1.0,,,1.0,,
Lacrimispora_sphenoides,1.0,1.0,,,21.0,1.0,89.0,,,,,,1.0,,4.0,2.0,1.0,1.0,4.0,3.0,,,,,1.0,5.0,,14.0,,,,1.0,,,,,
Lacrimispora_xylanisolvens,5.0,2.0,3.0,1.0,,1.0,,2.0,1.0,3.0,3.0,3.0,1.0,,7.0,12.0,6.0,4.0,1.0,1.0,,,1.0,2.0,1.0,3.0,,8.0,,16.0,,2.0,1.0,,2.0,1.0,2.0
Lacrimispora_xylanolytica,,,12.0,,,,1.0,,,2.0,,,,,,1.0,,1.0,,2.0,1.0,2.0,,,,10.0,,,,19.0,,5.0,,,,,2.0
Lacticaseibacillus_casei,,,,,,,,,,,,,,,,,12.0,,10.0,,,11.0,,,,36.0,,11.0,,17.0,,,,,,9.0,
Lacticaseibacillus_chiayiensis,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Lacticaseibacillus_manihotivorans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Lacticaseibacillus_pabuli,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,
Lacticaseibacillus_pantheris,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
Lacticaseibacillus_paracasei,89.0,552.0,541.0,18.0,30937.0,80783.0,4230.0,8.0,22.0,72.0,4.0,,15.0,50.0,306.0,123.0,1367.0,7.0,12314.0,54.0,2853.0,3270.0,2978.0,23.0,102.0,6452.0,28.0,46.0,1.0,807.0,,84.0,,,29.0,1264.0,
Lacticaseibacillus_parahuelsenbergensis,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacticaseibacillus_rhamnosus,56.0,2.0,699.0,2.0,15624.0,69437.0,12894.0,34.0,2.0,7.0,1.0,,7.0,9.0,77.0,,451.0,7.0,14286.0,33.0,30850.0,1131.0,13.0,2.0,1.0,36382.0,182.0,2907.0,9.0,935.0,,55.0,1.0,,205.0,3.0,
Lacticaseibacillus_zeae,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,2.0,,
Lactiplantibacillus_argentoratensis,,,333.0,,,,4.0,3.0,,,,,,,,,,,,,,,,,2.0,,,,,650.0,,42.0,,,11.0,,
Lactiplantibacillus_carotarum,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Lactiplantibacillus_paraplantarum,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactiplantibacillus_pentosus,,,5.0,1.0,15.0,14.0,18.0,,1.0,,,,,,,,4.0,4.0,5.0,4.0,,,4.0,6.0,6.0,,,1.0,,2.0,,2.0,,,1.0,40.0,
Lactiplantibacillus_plantarum,5.0,141.0,1334.0,28.0,1511.0,1424.0,1402.0,,13.0,6.0,24.0,27.0,59.0,1.0,84.0,140.0,36.0,18.0,96.0,299.0,698.0,20.0,9.0,12.0,96.0,78.0,384.0,13.0,9.0,1275.0,,96.0,5.0,,55.0,362.0,
Lactobacillus_acetotolerans,,,,,,,,,,,,,,,,,,,,1.0,41.0,,,,,,,,,,,,,,,,
Lactobacillus_acidophilus,,,,,,,,,,,,,,,,,,,,,117.0,,,,4.0,,,,,,,,,,,,
Lactobacillus_amylolyticus,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
Lactobacillus_amylovorus,,,,16.0,,,2.0,,2.0,,,,,,,,,,,,1894.0,,,,19.0,5.0,,,,,,,,2.0,,1.0,
Lactobacillus_crispatus,,3.0,270.0,,,,,24.0,7.0,,,,,,,,6.0,102.0,25.0,,34.0,,,,672.0,2207.0,1.0,,,523.0,,43.0,,,12.0,13.0,
Lactobacillus_delbrueckii,,14.0,3.0,,2.0,2.0,4.0,,4.0,,4.0,,,,,38.0,142.0,3.0,,,25376.0,,,,,16.0,,,,258.0,,661.0,,,2.0,,
Lactobacillus_gasseri,,6.0,4367.0,2.0,,,,27.0,,,22.0,,,8.0,,,,,,,388.0,,,,396.0,13512.0,35.0,,1.0,24171.0,,1458.0,,,613.0,,
Lactobacillus_helveticus,,,1.0,,1.0,4.0,,1.0,71.0,,,,,,,,8.0,,23.0,,654.0,,1.0,,5.0,64.0,,,,8.0,,1.0,,,42.0,,5.0
Lactobacillus_iners,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,96.0,129.0,,,,,,4.0,,,,1.0,2.0
Lactobacillus_intestinalis,,,,,,,1.0,,,,,,,,,,,,,,207.0,,,,,1.0,,,,,,,,,,,
Lactobacillus_isalae,,,,,,,,1.0,,,,,,,,,,,,,995.0,,,,,2.0,,,,4.0,,,,,,,
Lactobacillus_jensenii,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Lactobacillus_johnsonii,,,58.0,1.0,235.0,220.0,155.0,3.0,,7.0,,,57.0,,19.0,,2.0,29.0,8.0,3.0,386590.0,34.0,5.0,3.0,2.0,43.0,,,,121.0,,11.0,5.0,,,,1.0
Lactobacillus_kefiranofaciens,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus_paragasseri,,,460.0,,,,,17.0,,,,,,,,,,,,,125.0,,,,164.0,140.0,3.0,37.0,,2125.0,,140.0,,,193.0,,
Lactobacillus_phage_LL-H,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Lactobacillus_phage_phiPYB5,,,2.0,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,
Lactobacillus_prophage_Lj771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,,,,,
Lactobacillus_sp._3B(2020),,,61.0,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,169.0,,2.0,,,1.0,,
Lactobacillus_sp._JCM_1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,
Lactobacillus_sp._JM1,,,156.0,,,,,,,,,,,,,,,,,,,,,,,542.0,,,,344.0,,88.0,,,143.0,,
Lactobacillus_sp._PV034,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
Lactobacillus_taiwanensis,,,,,,,,,,,,,,,,,,,,,704.0,,,,,1.0,,,,,,,,,,,
Lactobacillus_ultunensis,,,4.0,,,,,10.0,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,2.0,,,,12.0,
Lactococcus_carnosus,,,,,,,,,,,10.0,3.0,29.0,1.0,2.0,93.0,4.0,4.0,,,,230.0,,,,,,1.0,,,,,,,1.0,2.0,
Lactococcus_cremoris,489.0,890.0,1154.0,95.0,1.0,2.0,27.0,18.0,152.0,878.0,534.0,348.0,957.0,184.0,1359.0,621.0,2029.0,2218.0,689.0,201.0,277.0,91.0,451.0,209.0,122.0,369.0,87.0,32.0,344.0,37.0,4.0,4.0,179.0,,8516.0,341.0,223.0
Lactococcus_formosensis,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0,,
Lactococcus_garvieae,,,37.0,1.0,1.0,,2.0,,,,,2.0,,,,1.0,,,,,93.0,,3.0,2.0,,1.0,9.0,,13.0,,,,,,74.0,,
Lactococcus_lactis,199.0,1924.0,46136.0,347.0,318.0,296.0,3725.0,,510.0,6.0,2956.0,1396.0,757.0,65.0,514.0,2173.0,534.0,2233.0,427.0,79.0,24943.0,655.0,1301.0,277.0,183.0,707.0,339.0,18.0,10514.0,1103.0,8.0,3.0,339.0,6.0,68880.0,328.0,7.0
Lactococcus_paracarnosus,,1.0,,,,,,,,,7.0,2.0,1.0,2.0,25.0,48.0,18.0,2.0,,1.0,,33.0,,,,,,,,,,,,,,,
Lactococcus_petauri,,,330.0,17.0,,,11.0,21.0,100.0,45.0,40.0,16.0,,4.0,67.0,19.0,9.0,48.0,5.0,,13.0,12.0,27.0,5.0,35.0,134.0,2.0,6.0,38.0,33.0,,2.0,14.0,,139.0,38.0,4.0
Lactococcus_phage_4268,,7.0,8.0,9.0,,2.0,,,,,7.0,3.0,1.0,,,16.0,,6.0,,,,,,,2.0,,,,3.0,,,,,,,,
Lactococcus_phage_63301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
Lactococcus_phage_98201,,,,,,,9.0,,,,12.0,23.0,,,13.0,,,,,,3.0,,,,,,,,,,,,,,2.0,,
Lactococcus_phage_M6165,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactococcus_phage_TP901-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
Lactococcus_phage_Tuc2009,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,
Lactococcus_phage_r1t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
Lactococcus_phage_ul36,,,,,,,3.0,,2.0,,5.0,,,,,,,,,,22.0,,,,,,,,,,,,,,,,
Lactococcus_piscium,,,,,,,,,,,14.0,,12.0,,2.0,18.0,2.0,2.0,,,,479.0,,,,,,1.0,,1.0,,1.0,,,4.0,1.0,
Lactococcus_raffinolactis,,,5.0,,3.0,,2.0,,,1.0,7.0,1.0,2.0,2.0,2.0,3.0,,73.0,,,64.0,55.0,,1.0,,66.0,6.0,3.0,,1.0,,,,,15.0,,2.0
Lactococcus_sp.,49.0,374.0,5466.0,100.0,8.0,22.0,246.0,,27.0,188.0,330.0,130.0,103.0,19.0,108.0,456.0,87.0,1106.0,164.0,90.0,3531.0,21.0,430.0,60.0,333.0,50.0,2176.0,10.0,1548.0,154.0,,11.0,46.0,,8056.0,62.0,168.0
Lactococcus_sp._LG606,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
Lactococcus_sp._NH2-7C,2.0,22.0,24.0,6.0,,,,,1.0,,20.0,5.0,7.0,1.0,4.0,36.0,,16.0,,,36.0,,2.0,2.0,,,,,5.0,,,,1.0,,152.0,,
Lactococcus_sp._bn62,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,,
Lactococcus_taiwanensis,,,1.0,,,,,,,,,,,,,1.0,,,,,97.0,,,,,,1.0,,2.0,,,,,,7.0,,
Lacunisphaera_limnophila,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lancefieldella_parvula,20.0,29.0,125.0,3.0,,14.0,3.0,46.0,1.0,30.0,7.0,1.0,10.0,5.0,22.0,49.0,15.0,20.0,42.0,7.0,359.0,43.0,6.0,2.0,67.0,192.0,,2.0,2.0,112.0,,34.0,3.0,,45.0,204.0,3.0
Lancefieldella_sp._Marseille-Q7238,,,1.0,,,,,1.0,,,,,2.0,,,1.0,1.0,,,2.0,3.0,,,,,11.0,,,,,,,,,1.0,12.0,2.0
Lapidilactobacillus_dextrinicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.0,,,722.0,,,,,
Latilactobacillus_curvatus,8.0,450.0,1.0,,38.0,6.0,23.0,,,651.0,17.0,6.0,2.0,2.0,23.0,720.0,86.0,,3.0,,8.0,1.0,26.0,1.0,3.0,4.0,156.0,,,3.0,,,441.0,,9.0,22.0,
Latilactobacillus_fuchuensis,4.0,,,1.0,,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,
Latilactobacillus_sakei,,31.0,,,5.0,2.0,6.0,,7.0,25.0,26.0,7.0,,,,793.0,3.0,4.0,,2.0,,3.0,1.0,166.0,,,3.0,7.0,,,,,40.0,,,4.0,
Lautropia_mirabilis,,,,,,,,11.0,,,,,,,,,,,3.0,,,,9.0,,15.0,,,,,,,1.0,,,,,
Lawsonella_clevelandensis,2.0,,,2.0,1.0,4.0,117.0,1.0,6.0,3.0,,,,,,,,,1.0,2.0,,,,1.0,2.0,151.0,,,,,,9.0,,,1.0,,
Lawsonia_intracellularis,1.0,4.0,,2.0,,,,7.0,,,,2.0,3.0,1.0,,,3.0,,,,,,4.0,,,,,3.0,,,,,1.0,,2.0,,
Lawsonibacter_asaccharolyticus,7645.0,9240.0,33.0,12177.0,10.0,47.0,51.0,4434.0,493.0,11579.0,6569.0,4448.0,10654.0,1834.0,2331.0,2740.0,8670.0,440.0,243.0,2241.0,2252.0,9741.0,4035.0,5017.0,9031.0,132.0,4.0,320.0,1.0,58.0,1078.0,23.0,2449.0,148.0,21.0,8209.0,4189.0
Leclercia_adecarboxylata,,,1.0,1.0,,,,,1.0,,,,,3.0,,,,,,9.0,197.0,,,,,1.0,208.0,,161.0,,,,,,,,
Leclercia_pneumoniae,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,159.0,,2.0,1.0,,,,,,,
Leclercia_sp._119287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Leclercia_sp._LSNIH1,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leclercia_sp._W17,,,,,,,,,,,11.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Lederbergia_lenta,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
Legionella_pneumophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Leifsonia_shinshuensis,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lelliottia_amnigena,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,17.0,,,5.0,,,,,
Lelliottia_sp._JS-SCA-14,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Lelliottia_sp._WB101,,,,,,,,,,,,,,,,,,20.0,,,,,,,2.0,,,,,,,,,,,,
Lentavirus_PMBT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
Lentilactobacillus_buchneri,,,5.0,,7.0,,5.0,,,,,,,,,,,,,,3.0,,,,,,,,,11.0,,,,,,,
Lentilactobacillus_hilgardii,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lentilactobacillus_kefiri,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,
Lentilactobacillus_parabuchneri,,,,,299.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,49.0,,,,,,,,,,
Leptogranulimonas_caecicola,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,
Leptothrix_cholodnii,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
Leptotrichia_buccalis,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,12.0,,,2.0,,
Leptotrichia_sp._oral_taxon_212,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
Leptotrichia_sp._oral_taxon_218,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Leptotrichia_sp._oral_taxon_221,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Leptotrichia_trevisanii,,,5.0,,,,,,,,,,,,,,,2.0,3.0,,,,,,,1.0,,,,,,6.0,,,,,
Leptotrichia_wadei,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
Leucobacter_allii,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucobacter_muris,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucobacter_sp._CX169,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Leuconostoc_carnosum,,2.0,1.0,2.0,4.0,13.0,10.0,,,,,2.0,,,2.0,1.0,9.0,3.0,1.0,,,76.0,1.0,,2.0,,23.0,,,1.0,,,9.0,,,,
Leuconostoc_citreum,,36.0,,,2519.0,2341.0,1373.0,,,3.0,,,,,6.0,19.0,11.0,19.0,1.0,,1.0,,35.0,,7.0,4.0,33.0,,,,,,42.0,,2.0,,
Leuconostoc_falkenbergense,,,,,,1.0,,,,,,,,,,,,1.0,2.0,1.0,,,1.0,,,2.0,,,,,,,,,,,
Leuconostoc_garlicum,,,,,1.0,3.0,3.0,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,2.0,,
Leuconostoc_gasicomitatum,4.0,114.0,5.0,2.0,3.0,1.0,7.0,,1.0,,11.0,4.0,,,6.0,108.0,17.0,9.0,1.0,21.0,,235.0,4.0,,,,43.0,1.0,,,,,19.0,,,2.0,
Leuconostoc_gelidum,3.0,5.0,7.0,11.0,1.0,6.0,2.0,,17.0,,8.0,3.0,2.0,,5.0,77.0,11.0,8.0,1.0,9.0,,9.0,11.0,2.0,,,306.0,4.0,,,,,3.0,,,15.0,
Leuconostoc_kimchii,,,,,14.0,9.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,8.0,,,,
Leuconostoc_lactis,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,
Leuconostoc_mesenteroides,5.0,227.0,,6.0,1196.0,1101.0,606.0,,,445.0,3.0,,4.0,10.0,102.0,368.0,473.0,37.0,155.0,34.0,3.0,538.0,20.0,,1.0,14.0,2108.0,1.0,,2.0,,2.0,171.0,,31.0,1.0,1.0
Leuconostoc_pseudomesenteroides,,1.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,471.0,,,13.0,3.0,,,,,,3.0,,,,
Leuconostoc_sp._C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,
Leuconostoc_sp._LN180020,,9.0,,,3720.0,3556.0,2228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leuconostoc_sp._MTCC_10508,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,98.0,,,,,,,,,,
Leuconostoc_suionicum,,13.0,,,,,,,,23.0,,,,,,13.0,,,,,,,16.0,,,,41.0,,,,,,,,,,
Levilactobacillus_brevis,5.0,1.0,,,1.0,1.0,3.0,3.0,2.0,,4.0,1.0,4.0,,1.0,1.0,3.0,5.0,3.0,1.0,,9.0,10.0,,27.0,,4.0,10.0,,,,,,,24.0,,
Levilactobacillus_zymae,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
